Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2017,Michigan State,965768,10/2/17,"1:6:9:23,20",8,71.67,264.38,"Norcross, GA  30092"
Football 2017,Michigan State,965774,10/2/17,"1:20:50:12,11",4,71.67,275,"Traverse City, MI  49685"
Football 2017,Michigan State,965778,10/2/17,"1:13:89:14,13",4,125,193.05,"Brighton, MI 48114"
Football 2017,Michigan State,965785,10/2/17,"1:11:15:10,10",2,71.67,250,"Windsor, ON  N8W 5P4"
Football 2017,Michigan State,965785,10/2/17,"1:11:15:11,11",2,71.67,250,"Windsor, ON  N8W 5P4"
Football 2017,Michigan State,965785,10/2/17,"1:11:15:12,12",2,71.67,250,"Windsor, ON  N8W 5P4"
Football 2017,Michigan State,965785,10/2/17,"1:11:15:7,7",2,71.67,250,"Windsor, ON  N8W 5P4"
Football 2017,Michigan State,965785,10/2/17,"1:11:15:8,8",2,71.67,250,"Windsor, ON  N8W 5P4"
Football 2017,Michigan State,965785,10/2/17,"1:11:15:9,9",2,71.67,250,"Windsor, ON  N8W 5P4"
Football 2017,Michigan State,965789,10/2/17,"1:35:89:17,16",4,71.67,200,"Naperville, IL  60540"
Football 2017,Michigan State,965790,10/2/17,"1:14:85:16,15",4,125,200,"Byron Center, MI  49315"
Football 2017,Michigan State,965791,10/2/17,"H2:3:70:C3,W3",4,71.67,300,"Taylor, MI  48180"
Football 2017,Michigan State,965793,10/2/17,"1:39:48:21,20",4,71.67,215.56,"Grosse Pointe, MI  48230"
Football 2017,Michigan State,965794,10/2/17,"1:24:65:18,17",4,64.5,290,"Farmington, MI  48336"
Football 2017,Michigan State,965796,10/2/17,"1:24:24:15,15",2,155,304.04,"Otsego, MI  49078"
Football 2017,Michigan State,965800,10/2/17,"1:37:18:45,45",2,71.67,235,"Grand Rapids, MI  49506"
Football 2017,Michigan State,965800,10/2/17,"1:37:18:46,46",2,71.67,235,"Grand Rapids, MI  49506"
Football 2017,Michigan State,965800,10/2/17,"1:37:18:47,47",2,71.67,235,"Grand Rapids, MI  49506"
Football 2017,Michigan State,965800,10/2/17,"1:37:18:48,48",2,71.67,235,"Grand Rapids, MI  49506"
Football 2017,Michigan State,965803,10/2/17,"1:5:30:17,16",4,71.67,240,
Football 2017,Michigan State,965806,10/2/17,"1:41:42:10,10",2,71.67,275,"Los Angeles, CA  90066"
Football 2017,Michigan State,965806,10/2/17,"1:41:42:7,7",2,71.67,275,"Los Angeles, CA  90066"
Football 2017,Michigan State,965806,10/2/17,"1:41:42:8,8",2,71.67,275,"Los Angeles, CA  90066"
Football 2017,Michigan State,965806,10/2/17,"1:41:42:9,9",2,71.67,275,"Los Angeles, CA  90066"
Football 2017,Michigan State,965807,10/2/17,"1:35:B:2,1",4,71.67,269,"Sacramento, CA  95819"
Football 2017,Michigan State,965810,10/2/17,"1:19:58:25,24",4,71.67,245,"Shelby Township, MI  48315"
Football 2017,Michigan State,965811,10/2/17,"1:6:86:37,37",2,140,190,"Chicago, IL  60654"
